Own BIC	Correspondent	Service	R. Status		R. Validity	R. Start Date	R. End Date		R. Restr.	R. Trans.	S. Status	S. Validity	S. Start Date	S. End Date	S. Restr.
POBNSKBA	CECAESMM	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CECAGB2X	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CEDELULL	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CEKOCZPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CEKOSKBX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CESCESBB	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CHASDEFX	swift.fin	Enabled		Valid					Sent to Correspondent	Enabled	Valid			
POBNSKBA	CHASUS33	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CIALCHBB	swift.fin	Enabled		Valid					Sent to Correspondent	Enabled	Valid			
POBNSKBA	CIBHHUHB	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CITIAU2X	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CITIAU3X	swift.fin	Enabled		Valid										
POBNSKBA	CITIAUSX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CITICZPX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CITIGB2L	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CITIHUHX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CITIKRSX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CITILKLX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CITINZ2X	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CITIPHMX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CITIPLPX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CITISGSG	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CITISKBA	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CITITW2X	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CITITWTX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CMCIFRPA	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CMCIFRPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CNBACZPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	COBACZPX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	COBADEFF	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	COBAHUHX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	COBASKBX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	COMKRUMM	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CRBIIT2B	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CRESCHZZ	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CRLYCZPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	CRLYFRPP	swift.fin	Rejected		Invalid						Revoked	Invalid			
POBNSKBA	CRLYSKBX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DABADKKK	swift.fin	Rejected		Invalid						Revoked	Invalid			
POBNSKBA	DABAFIHH	swift.fin	Rejected		Invalid						Revoked	Invalid			
POBNSKBA	DABANO22	swift.fin	Rejected		Invalid						Revoked	Invalid			
POBNSKBA	DEKRUA22	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTCZPX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTDE2H	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTDE3B	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTDE5M	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTDE6F	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTDE8C	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTDE8E	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTDE8L	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTDEBB	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTDEBR	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTDEDB	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTDEDD	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTDEDE	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTDEDK	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTDEDW	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTDEFF	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTDEHB	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTDEHH	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTDEMM	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTDESM	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTDESS	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTGB2L	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTTWTP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DEUTUS33	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DNBANOKK	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DOBAATWW	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	DRESDEFF	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	EBNKCZPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	EBOSPLPW	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	ESPCESMM	swift.fin	Rejected		Invalid						Revoked	Invalid			
POBNSKBA	ESSEDEFF	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	ESSEGB2L	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	ESSESESS	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	ETHNGRAA	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	EURIKZKA	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	EXBSUAUX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	FBCOPTPP	swift.fin									Enabled	Valid			
POBNSKBA	FBHLAEAD	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	FBHLBE22	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	FBHLMTMT	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	FBHLNL2A	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	FICHRUMM	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	FIOZSKBA	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	FSBUUA2N	swift.fin	Enabled		Valid					Sent to Correspondent	Enabled	Valid			
POBNSKBA	GBMNESMM	swift.fin	Enabled		Valid					Sent to Correspondent	Enabled	Valid			
POBNSKBA	GEBABEBB	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	GIBAATWG	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	GIBAATWW	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	GIBACZPX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	GIBAHUHB	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	GIBASKBX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	GIRBGB22	swift.fin									Enabled	Valid			
POBNSKBA	GOPZPLPW	swift.fin	Rejected		Invalid						Revoked	Invalid			
POBNSKBA	GORESI2X	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	GUTBATWW	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	HANDNOKK	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	HANDSESS	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	HEBACY2N	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	HELADEFF	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	HPBZHR2X	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	HYVEDEMM	swift.fin	Rejected		Invalid						Revoked	Invalid			
POBNSKBA	ICBKCNBJ	swift.fin	Enabled		Valid					Sent to Correspondent					
POBNSKBA	IMBKRUMM	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	INEBHUHB	swift.fin	Enabled		Valid										
POBNSKBA	INGBCZPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	INGBHUHB	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	INGBNL2A	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	INGBPLPW	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	INGBROBU	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	INGBSKBX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	INRBSKBX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	IRVTUS3N	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	ISTRSKBA	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	JSBSRU2P	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	JSNMRUMM	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	JTBPCZPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	JTBPSKBA	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	JTPBCHZZ	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	KBSPSKBX	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	KBSZCH22	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	KBZGCH22	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	KOMASK2X	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	KOMBCZPP	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	KOMBSKBA	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	KOOPUAUX	swift.fin	Enabled		Valid					Sent to Correspondent	Enabled	Valid			
POBNSKBA	KREDBEBB	swift.fin	Enabled		Valid						Enabled	Valid			
POBNSKBA	KREKSI22	swift.fin	Enabled		Valid					Sent to Correspondent	Enabled	Valid			
